,qid,Q,A,Gold_A
0,18ecd2ac6c0ac69993b92dc4b30137e8,"Which Title(s), in Filmography of Ben Piazza, has the left half of a woman's face on its poster?",      	.,"['Tell Me That You Love Me, Junie Moon']"
1,e1e6ed53f9ad11813845088f4cf2f6b1,"Which Club(s), in Career statistics | Club of Dženis Beganović, have a flower on the logo?",      	Dženis Beganović.,['FK Tuzla City']
2,5fb253761e72a6048b8b759f04c3b784,What award did Barathea win at Churchill Downs in 1994?,      	Triple Crown.,"[""Breeders' Cup Mile""]"
3,33cf75c43fb268f267002cf8b9c28313,who rode american pharoah in the kentucky derby,      ivan horn.,['Victor Espinoza']
4,bc2bade34338dadc9536bc852ec50919,What animals race in the Kentucky Derby?,       Horses.,['horses']
5,725cff35b53790928967f609bb24985f,What color is the Santa Anita Park logo?,      	Blue.,['blue']
6,77240911edd7c3cc1d48a0623e54d32d,when was last time dodgers played yankees in the world series,     ..............................................................................................................................................................................................................................................................................,['1981']
7,d84462c91815f4851d806453b5715610,What county was the 1999 TransWorld Diversified Services Indy 200 held in?,      	Kingswood County.,['Orange County']
8,614716c36c027cb4b3e963418559b585,"What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?",      	Mary Wilson.,['Jean Terrell']
9,06cebc3108b489b6cc268b4be8dc3b3c,What Indian playback singer and occasional music composer born 28 September 1929 has a song featured in the 1959 Bollywood movie Ujala?,      	Lata Mangeshkar.,['Lata Mangeshkar']
10,93ecaa742a8b0a3b6d5c6ab1c5256848,who sing the most songs in the world,     ......................................................................................................................................................,['Asha Bhosle']
11,c766fcfc2e3d278fccbe744341523420,who played mama on throw momma from the train,      	Loretta Devine.,['Anne Ramsey']
12,f86444fef668a3c57db2e436760d8cee,who was considered the father of the blues,      	Blind Lemon Jefferson.,['William Christopher Handy']
13,d0fc9cc5086d90b34e4a55b7f8498ec4,caesar's son name in planet of the apes,      romeo.,['Blue Eyes']
14,ae01728a7eeb65102cc999a29b13142c,What is the man holding in the poster for Blue Eyes (film)?,      	A gun.,['gun']
15,08f92dc7e86cdae17365b2c16f90b839,What object is in front of Felicia Day's face?,      	A microphone.,['microphone']
16,3116ad06bfe68bb544de4ce3f77d911f,What color is Rachel Dratch wearing?,      	Blue,['black']
17,35ce9f0507cb771000b13b5cf015de5d,The voice artist of the girl mammoth in ice age continental draft has what color hair?,      umber.,['black']
