,qid,Q,A,Gold_A,docs
0,18ecd2ac6c0ac69993b92dc4b30137e8,"Which Title(s), in Filmography of Ben Piazza, has the left half of a woman's face on its poster?"," 	Tell Me That You Love Me, Junie Moon","['Tell Me That You Love Me, Junie Moon']",['ddf8b52a8400deaf05940c5cad8169cd']
1,e1e6ed53f9ad11813845088f4cf2f6b1,"Which Club(s), in Career statistics | Club of Dženis Beganović, have a flower on the logo?"," 	FK Crvena Zvezda, FK Partizan.",['FK Tuzla City'],['52830c5f8b6e8b19add8756c8f56576d']
2,5fb253761e72a6048b8b759f04c3b784,What award did Barathea win at Churchill Downs in 1994?, 	European Horse of the Year.,"[""Breeders' Cup Mile""]","['0baec69396d3ff898a370d40df9f3db1', 'a7e8300eb39c0cd7326d8dce5e096099']"
3,33cf75c43fb268f267002cf8b9c28313,who rode american pharoah in the kentucky derby, 	Victor Espinoza.,['Victor Espinoza'],['3660091d31af08e90876608ac33c47dd']
4,bc2bade34338dadc9536bc852ec50919,What animals race in the Kentucky Derby?, 	Horses.,['horses'],['5588a1833b8fa95fe1b0ed520e447d64']
5,725cff35b53790928967f609bb24985f,What color is the Santa Anita Park logo?, 	Blue.,['blue'],['117d500aaa630023c4038b8268b309c0']
6,77240911edd7c3cc1d48a0623e54d32d,when was last time dodgers played yankees in the world series, 	1981.,['1981'],['2871cc2c73ba9efaf4ee6ef9d3f3a5b6']
7,d84462c91815f4851d806453b5715610,What county was the 1999 TransWorld Diversified Services Indy 200 held in?," 	Orange County, Florida.",['Orange County'],"['88dbd926a770b2262c4db2bdf9044259', 'd49df4ff00648c2373d6b1b210a86113']"
8,614716c36c027cb4b3e963418559b585,"What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?", 	Jean Terrell.,['Jean Terrell'],"['763335da34ba3686cc9cc8d7ce1ebefc', '5b10d4ec1ce24c72e7f63eee338bdea5']"
9,06cebc3108b489b6cc268b4be8dc3b3c,What Indian playback singer and occasional music composer born 28 September 1929 has a song featured in the 1959 Bollywood movie Ujala?, 	Lata Mangeshkar.,['Lata Mangeshkar'],"['23e814daf9121680308f2ab1ff2c3d50', 'd30ea2a73011c8acc9a3c523142c39c6']"
10,93ecaa742a8b0a3b6d5c6ab1c5256848,who sing the most songs in the world, 	Lata Mangeshkar.,['Asha Bhosle'],['851c8142a354d132715daf5bae2cda7a']
11,c766fcfc2e3d278fccbe744341523420,who played mama on throw momma from the train, 	Anne Ramsey.,['Anne Ramsey'],['54ae8f9219afe262db5cce8d81b49463']
12,f86444fef668a3c57db2e436760d8cee,who was considered the father of the blues, 	William Christopher Handy.,['William Christopher Handy'],['d32d988f4351c8fd6799443c0564d5c1']
13,d0fc9cc5086d90b34e4a55b7f8498ec4,caesar's son name in planet of the apes, romeo.,['Blue Eyes'],['d04ca5ce9745b580993725069bf99085']
14,ae01728a7eeb65102cc999a29b13142c,What is the man holding in the poster for Blue Eyes (film)?, 	A gun.,['gun'],['7a4790992bbb4a853e001e7b68752e24']
15,08f92dc7e86cdae17365b2c16f90b839,What object is in front of Felicia Day's face?, 	A microphone.,['microphone'],['d179a14875639d9cfb680f784223b271']
16,3116ad06bfe68bb544de4ce3f77d911f,What color is Rachel Dratch wearing?, 	Blue.,['black'],['971b2305045ca074690333bcf928d841']
17,35ce9f0507cb771000b13b5cf015de5d,The voice artist of the girl mammoth in ice age continental draft has what color hair?, umber.,['black'],"['161b4689b237fe09a729dd8b01bb3123', 'c8b5b8113ca01e62752d7a850ae95861']"
18,8a36aeac84a462745c5fa5ffacc45c1b,"Which Player(s), in Scoring leaders of 2000–01 AHL season, Plays for the team with a pouncing wild cat on the jersey?", 	Bryan Trottier and Mike Comrie.,['Mikael Samuelsson'],['c6e444e106b5233605fb80c5cb428763']
19,9ae2827de34f02e886c7d9d6af81e9c6,"Milo Murphy's Law (previously titled Mikey Murphy's Law) is an American animated television series from the creators of ""Phineas and Ferb"", the series revolves around the title character, Milo Murphy, who is a descendant of Edward A. Murphy Jr., was an American aerospace engineer who worked on safety-critical systems, and the namesake of which term,?", 	Anything that can go wrong will go wrong.,"[""Murphy's law""]","['845dbeb6659059020ee28a7c41cfeef3', '3efe49cc171556bb620563e2e3471a07']"
20,9ccd35f39cdd23d9b4cad3467539d5f4,when did the first episode of phineas and ferb come out," 	February 1, 2008.","['August 17, 2007']",['6eb526ec1bff14d1a28daddca94ed6d6']
21,6342fbe80aef2e720d0b06d35e4ec463,What color hair does alyson stoner have?, umber,['blonde'],['19af22e07afe0137773a47a13cae475b']
22,9aa0dd5dd754fdc4a68eabc639a34f35,"Which Album(s), in Singles of Cass Elliot, has three children on its cover?", 	Mama Cass,['Dream a Little Dream (Cass Elliot album)'],['c247f60f679dbb03959540a28126c506']
23,d85e16020cec2e8cdcb347f88e1763c9,is make your own kind of music on an album," 	Bubblegum, Lemonade, and... Something for Mama.",['yes'],['bef5deb5fb149b6bcc3453270214044f']
24,9c4edd8d739fd174c3e3def12de3e7d8,"Is there an amusement park featured in the collage of Tampa, Florida?"," 	Yes, Busch Gardens.",['yes'],['04efc3408a15848ab446ddc2d4d2bd13']
25,f2def8c149eac4debb187a7057243177,"What is going across the river and in the water on Parkersburg, West Virginia?", 	A bridge.,['bridge'],['55135d3219a8a9ab6b827fee6b0723e7']
26,074182b0a52f0fd0e740b4f64b30113c,How many colors are on the Mississippi flag?, 	2,['3'],['33002a89d4b97618a27a90454ef225f6']
27,c39391f49f6932db136820f0ba229324,What arid climate is the region where Page Municipal Airport is located?, 	Desert.,['desert'],['ea63f0bf3dfcbd0efe3e90ff0af6e5ef']
28,7c7ffee7b94509e9379ee289a07f2239,"In the city that is served by Contour Airlines as a destination, and which is famous for the metal archway-shaped structure on its shore, how tall is this arch?", 	630 feet.,['630-foot'],"['b0d9f771b200dd9d13b207a8196d25c1', '2dcf32aaf7d8ef607845dbb5f8137f23']"
29,782b7cd2730063d3406269f49f3abea5,"Who were the stars of the movie whose title begins with ""Meet Me In"" and ends with the name of the city, served by Contour Airlines as a destination, that has a large, metal, archway-shaped sculpture on its shore?"," 	St. Louis, Missouri.","[""Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, Tom Drake, Leon Ames, Marjorie Main, June Lockhart, and Joan Carroll""]","['84f6e13da4fbfb1a53cb6bb150530819', '2dcf32aaf7d8ef607845dbb5f8137f23']"
30,04ec050615a31c84b35257ba63fff85c,is there going to be a piranha 2, 	No.,['yes'],['11bd232bc585fbe92f748ed416a24916']
31,ae6a6019d324f08fb734b74f66a237e2,who owned the manor in the middle ages, 	The lord.,['a higher lord'],['2f4e92af7416300d16774e453028c1f1']
32,e92c5d803610ccf775a0147b50f2446b,are there great white sharks in atlantic ocean, 	No.,['yes'],['ffba62ccab2dd8ece37c10f3102db3a8']
33,5fc1a4391a2bc99286531215825a5f5d,what are flying monkeys in wizard of oz called, elysians.,['Winged monkeys'],['0a934a34eb07a0e61e7f69f863b042a6']
34,daa1e572eefb721531c111d7ce59cb5b,are all of the songs in mamma mia here we go again by abba, 	Yes.,['no'],['9983eabc1766315e2204e430d234275f']
35,cc3cbe258ac94f14defe66d3cd14afcf,"Does the band that originally performed ""Slipping Through My Fingers"", and who were imitated by performers at the 2001 ""Stars in Euro Eyes"", have both men and women in its lineup?", 	Yes.,['yes'],"['77984fb93cd281facbd6082fbe26b170', '5fa63bb917091cdd8f4607a98038fbb8']"
36,6d372c501004c3e448b1991f39160e99,Did the band that is made up of members of both sexes and was imitated in Stars in Euro Eyes in 2001 sing all songs in mamma mia 2?, 	Yes.,['no'],"['9983eabc1766315e2204e430d234275f', '5fa63bb917091cdd8f4607a98038fbb8']"
37,00f604a980ec93043c9cb092a4a54be0,is there a difference between west palm beach and palm beach, 	There is no difference between west palm beach and palm beach.,['yes'],['ea0fd64e84811058c760d53c9a6fc627']
38,95a6a8871b1023a781bc5b8c6c6ce460,"What is the name of the final album released by the Christian rock band that formed in the mid 1980s at Kentucky Christian University in Grayson, Kentucky?", 	Adios: The Greatest Hits.,['Adios: The Greatest Hits'],"['89f3a57089e25b894c2cc296ed6e3295', 'e411bd1549489734fc1373f5d9b14c6e']"
39,68e8165c0eed4cd49ae2ed8947dbf41d,How many colors are inthe Point Skyhawks logo?, 	4.,['4'],['c7e8e33a198f9ff64ed01fcca4386267']
40,6e667feb552a8220f74b7a1b6b235646,"Danish Viking, who ruled over parts of Friesland between 841 and 873 was the uncle of a Viking leader who raided the British Isles, West Francia, Frisia, and Lotharingia in the 860s and 870?", 	Rorik of Dorestad.,"['Roricus, Rorichus']","['62f57c7d7bd0127693ca455ccf80c685', '545b9ed43eefbed106288761c1652c9b']"
41,b8a42b80ac6dd145a4d6c33bfbd03128,when did the viking age finish in europe, 	1066 AD.,['1066 AD'],['e30600dc4ef442ad9872c6d843b95035']
42,518dd2aa05588b9dc6cb4056e7f821dc,"Which English actor, best known for his role in ""Kind Hearts and Coronets"", is also seen in the 1962 British comedy-drama The Pot Carriers?", 	Dennis Price.,['Dennis Price'],"['f8f9d001358baddf1e8481a914c77114', '1e11ce3fc18b22a3ae0e67dfecc85d7e']"
43,37044def9bde2dec48a76ce1d83635b0,who played mr doolittle in my fair lady, 	Stanley Holloway.,['Stanley Holloway'],['f2ede5c89af748f95f797e164db1c1b0']
44,e783cba0b3df36372d11823e378e5437,Which completely bald person who wears thick glasses is among the members of LGBT billionaires?, 	David Furnish,['Domenico Dolce'],['d57e56eff064047af5a6ef074a570956']
